               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.016386,           0.0050656,                   0,             0.97467,             0.98765,             0.98123,             0.66883,            0.022721,           0.0064013,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.016536,           0.0050776,                   0,             0.97559,             0.98673,             0.98078,             0.67193,            0.022884,           0.0065411,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.016601,            0.005012,                   0,             0.97559,             0.98688,             0.97963,              0.6778,            0.022667,           0.0064759,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.016182,           0.0050878,                   0,             0.97559,             0.98666,             0.97968,             0.65972,             0.02294,           0.0064099,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.016856,           0.0050894,                   0,             0.97557,             0.98586,             0.97998,               0.669,            0.022652,           0.0065574,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.016539,           0.0048639,                   0,             0.97399,             0.98765,             0.98067,             0.65954,            0.022905,           0.0067205,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.016279,           0.0049184,                   0,             0.97366,             0.98765,             0.98258,             0.67008,            0.022808,           0.0067301,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.016329,           0.0046744,                   0,             0.97471,             0.98765,              0.9849,             0.67357,            0.022848,           0.0067702,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.016633,           0.0050817,                   0,             0.97511,             0.98765,             0.98504,             0.67918,             0.02331,           0.0066639,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,             0.01646,             0.00501,                   0,              0.9853,             0.97531,             0.98758,              0.6705,            0.023119,            0.006796,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.016085,           0.0049162,                   0,             0.98591,             0.97531,             0.98815,             0.67692,            0.023139,           0.0072021,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.016025,           0.0047136,                   0,             0.98551,             0.97531,             0.98984,             0.67942,            0.023175,           0.0070557,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.016166,           0.0049465,                   0,             0.98763,             0.98549,             0.98343,             0.66177,            0.022901,           0.0065069,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.015315,           0.0049563,                   0,             0.98508,             0.97531,             0.98319,             0.66324,            0.022837,           0.0060257,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.016608,           0.0048523,                   0,             0.98747,             0.97321,             0.98178,             0.66677,            0.022764,           0.0060779,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.016229,           0.0050938,                   0,             0.98749,             0.97485,             0.98213,             0.67411,            0.023004,           0.0064225,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.015662,           0.0048607,                   0,             0.98763,             0.98603,             0.98238,             0.67814,            0.022593,           0.0062359,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.016486,           0.0048163,                   0,             0.98749,             0.97436,             0.98103,             0.66427,            0.023208,           0.0067739,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.015469,           0.0044795,                   0,             0.98599,             0.96296,             0.98075,             0.66586,            0.023663,           0.0069323,                   0,           0.0020305,           0.0020305,           0.0020305
